Gaze Experiment Summary,,,,,,,,,,,
User index,Badge No.,User Age,Gender,Race,EyeSight,Diopter,Other,Glasses?,Succeed,Failure,Total
user1_x,user1_x,20-30,,Asian,,,,No,,,
user2_x,user2_x,20-30,,Asian,,,,No,,,
user3_x,user3_x,20-30,,Asian,,,,No,,,
user4_x,user4_x,20-30,,Asian,,,,No,,,
user5_x,user5_x,20-30,,Asian,,,,Yes,,,
user6_x,user6_x,20-30,,Asian,,,,Yes,,,
user7_x,user7_x,20-30,,Asian,,,,Yes,,,
user8_x,user8_x,30-40,,Caucasian,,,,Yes,,,
user9_x,user9_x,30-40,,Asian,,,,No,,,
user10_x,user10_x,30-40,,Asian,,,,No,,,
user11_x,user11_x,30-40,,Asian,,,,No,,,
user12_x,user12_x,30-40,,Asian,,,,Yes,,,
user13_x,user13_x,20-30,,Asian,,,,No,,,
user14_x,user14_x,20-30,,Asian,,,,No,,,
